id,created_at,updated_at,street_id,city_id,street_kladr,street_type_id,street_type_full,street_type_short,name
2040,2023-09-01T08:00:55.524836Z,2023-09-01T08:00:55.524643Z,50073,1,200000050073,6,улица,ул.,Кармысова Камала
1808,2022-11-15T12:50:52.580927Z,2022-11-15T12:50:52.580368Z,10246,1,200000010246,6,улица,ул.,Кассина
1247,2020-09-03T10:26:20.446Z,2020-09-03T10:26:20.446Z,978,1,200000000978,6,улица,ул.,Кассина (Мамыр)
2195,2024-08-16T12:13:47.170050Z,2024-08-16T12:13:47.169454Z,50228,1,200000050228,6,улица,ул.,Касымова
1170,2020-09-03T10:26:20.446Z,2022-11-15T12:48:24.286938Z,514,1,200000000514,6,улица,ул.,Катаева
929,2020-09-03T10:26:20.409Z,2020-09-03T10:26:20.409Z,242,1,200000000242,6,улица,ул.,Кашгарская
1881,2022-11-15T12:51:13.786336Z,2022-11-15T12:51:13.785603Z,8766,1,200000008766,6,улица,ул.,Кенесары хана
3485,2025-01-31T10:27:07.871890Z,2025-01-31T10:27:07.871650Z,51514,1,200000051514,6,улица,ул.,Кенжайлау
3318,2024-12-30T17:22:07.787071Z,2024-12-30T17:22:07.786716Z,51347,1,200000051347,6,улица,ул.,Кенжетаева
2020,2023-05-29T07:45:03.876092Z,2023-05-29T07:45:03.875590Z,50053,1,200000050053,13,микрорайон,мкр.,Керемет
904,2020-09-03T10:26:20.409Z,2020-09-03T10:26:20.409Z,216,1,200000000216,6,улица,ул.,Клочкова
436,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,9,1,200000000009,6,улица,ул.,Кожамкулова
3605,2025-03-20T05:20:25.840190Z,2025-03-20T05:20:25.839935Z,51634,1,200000051634,6,улица,ул.,Кожедуба
1380,2020-09-03T10:26:20.482Z,2020-09-03T10:26:20.482Z,1129,1,200000001129,6,улица,ул.,Козыбаева
759,2020-09-03T10:26:20.374Z,2020-09-03T10:26:20.374Z,678,1,200000000678,13,микрорайон,мкр.,Кокжиек
757,2020-09-03T10:26:20.374Z,2020-09-03T10:26:20.374Z,674,1,200000000674,13,микрорайон,мкр.,Кокмайса
1076,2020-09-03T10:26:20.446Z,2020-09-03T10:26:20.446Z,342,1,200000000342,13,микрорайон,мкр.,Коктем 1
958,2020-09-03T10:26:20.409Z,2020-09-03T10:26:20.409Z,273,1,200000000273,13,микрорайон,мкр.,Коктем 2
960,2020-09-03T10:26:20.409Z,2020-09-03T10:26:20.409Z,276,1,200000000276,13,микрорайон,мкр.,Коктем 3
2129,2024-06-20T13:38:28.360729Z,2024-06-20T13:38:28.360083Z,50162,1,200000050162,6,улица,ул.,Коктерек
1174,2020-09-03T10:26:20.446Z,2020-09-03T10:26:20.446Z,519,1,200000000519,6,улица,ул.,Короленко
1809,2022-11-15T12:50:52.689297Z,2022-11-15T12:50:52.688950Z,10326,1,200000010326,6,улица,ул.,Котельникова
3598,2025-03-06T14:48:20.388165Z,2025-03-06T14:57:05.978418Z,51627,1,200000051627,13,микрорайон,мкр.,"Коянкус, ул.Квартал 1"
1000,2020-09-03T10:26:20.409Z,2020-09-03T10:26:20.409Z,418,1,200000000418,13,микрорайон,мкр.,Кулагер
2086,2023-12-26T16:48:30.361668Z,2023-12-26T16:48:30.361327Z,50119,1,200000050119,6,улица,ул.,Култобе
1810,2022-11-15T12:50:52.730375Z,2022-11-15T12:50:52.730027Z,9066,1,200000009066,6,улица,ул.,Кульджинский тракт
1043,2020-09-03T10:26:20.446Z,2020-09-03T10:26:20.446Z,305,1,200000000305,6,улица,ул.,Кунаева
760,2020-09-03T10:26:20.374Z,2020-09-03T10:26:20.374Z,679,1,200000000679,6,улица,ул.,Кунгурская
919,2020-09-03T10:26:20.409Z,2020-09-03T10:26:20.409Z,232,1,200000000232,6,улица,ул.,Курмангазы
1811,2022-11-15T12:50:52.927940Z,2022-11-15T12:50:52.927517Z,9806,1,200000009806,6,улица,ул.,Ладыгина
1441,2020-09-03T10:26:20.482Z,2020-09-03T10:26:20.482Z,1200,1,200000001200,6,улица,ул.,Лебедева
384,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,7763,1,200000007763,6,улица,ул.,Луганского
2059,2023-10-31T11:44:58.531132Z,2023-10-31T11:44:58.527584Z,50092,1,200000050092,13,микрорайон,мкр.,Мадениет
761,2020-09-03T10:26:20.374Z,2022-11-15T12:48:25.337189Z,680,1,200000000680,6,улица,ул.,Майлина
930,2020-09-03T10:26:20.409Z,2022-11-15T12:48:26.453754Z,243,1,200000000243,6,улица,ул.,Макатаева
2038,2023-08-31T12:42:25.510328Z,2023-08-31T12:42:25.509916Z,50071,1,200000050071,6,улица,ул.,Мамбетова
