"consumer_id";"devices_count";"frequency";"recency";"monetary"
12516679;2;"33.25";"8.0";"2857.1428571400006"
12516685;2;"37.25";"11.5";"4479.166666673334"
12516691;1;"64.5";"3.5";"1873.21428572"
12516714;2;"57.25";"2.5";"9738.09523806"
12516717;2;"71.75";"2.0";"2170.83333334"
12516737;1;"75.0";"2.0";"1600.0"
12516741;1;"31.0";"11.5";"1873.21428572"
12516745;2;"63.75";"3.25";"2321.42857142"
12516751;2;"66.0";"2.75";"1873.21428572"
12516768;2;"62.5";"4.5";"2321.42857142"
12516783;4;"73.75";"2.0";"7124.999999980001"
12516789;1;"82.0";"2.5";"4002.97619047"
12516795;1;"48.5";"6.0";"2755.1011904733336"
12516796;3;"75.0";"2.333333333333333";"2809.82142858"
12516809;2;"53.5";"26.25";"2286.90476191"
12516811;2;"90.0";"2.0";"12302.943601206664"
12516813;2;"55.75";"2.75";"1873.21428572"
12516814;1;"69.5";"2.0";"2321.42857142"
12516816;2;"85.0";"2.25";"2678.57142858"
12516822;2;"47.75";"2.0";"1873.21428572"
12516824;2;"58.0";"3.0";"3048.392857143333"
12516835;2;"74.75";"2.5";"2321.42857142"
12516845;2;"26.0";"33.25";"1873.21428572"
12516856;2;"38.0";"2.0";"2792.3571428600003"
12516865;2;"46.0";"4.0";"1873.21428572"
12516869;2;"57.75";"4.5";"2809.83035715"
12516870;2;"46.75";"3.5";"1873.21428572"
12516874;2;"24.75";"11.5";"1873.21428572"
12516880;1;"64.0";"2.0";"2321.42857143"
12516885;1;"25.5";"3.5";"1873.21428572"
12516895;2;"64.75";"3.75";"2321.42857142"
12516898;2;"63.0";"4.5";"2321.42857142"
12516899;2;"50.25";"5.0";"1873.21428572"
12516900;2;"59.0";"3.75";"2376.1904761966666"
12516922;1;"18.5";"7.5";"1064.28571429"
12516930;2;"69.75";"3.5";"2321.42857142"
12516939;2;"23.25";"8.0";"2809.83035715"
12516955;2;"83.25";"2.5";"5038.69047618"
12516958;2;"70.5";"3.0";"1873.21428572"
12516962;2;"42.5";"4.0";"2321.42857142"
12516968;1;"41.5";"27.0";"2321.42857142"
12516970;2;"53.0";"3.25";"2321.42857142"
12516979;1;"22.5";"42.0";"1873.21428572"
12516980;1;"56.5";"2.0";"1873.22321429"
12516982;2;"56.25";"2.0";"2138.0952381"
12516988;4;"53.25";"7.625";"4738.845238093333"
12516994;3;"43.833333333333336";"3.25";"2400.05357143"
12517004;2;"86.25";"2.25";"4492.672619056666"
12517006;2;"27.0";"5.5";"1873.21428572"
12517011;1;"34.0";"47.0";"1873.21428572"
12517012;1;"10.5";"2.0";"2321.42857143"
12517014;1;"73.5";"2.0";"1873.22321429"
12517021;2;"72.5";"3.75";"2946.42857142"
12517034;1;"65.0";"2.5";"1201.48809524"
12517042;1;"74.5";"2.5";"2321.42857143"
12517065;3;"25.166666666666668";"2.5";"2333.33928572"
12517068;2;"51.5";"4.25";"2678.57142858"
